"GEOID","EP_POV150","EP_UNEMP","EP_HBURD","EP_NOHSDP","EP_UNINSUR","EP_AGE65","EP_AGE17","EP_DISABL","EP_SNGPNT","EP_LIMENG","EP_MUNIT","EP_MOBILE","EP_CROWD","EP_NOVEH","EP_GROUPQ","EP_NOINT","med_income","med_homeval"
"48177",0.24,0.01,0.214,0.226,0.189,0.169,0.266,0.164,0.081,0.066,0.018,0.205,0.059,0.083,0.017,0.186,55698,117100
"48179",0.287,0.054,0.245,0.184,0.195,0.161,0.252,0.133,0.07,0.043,0.035,0.046,0.031,0.032,0.077,0.17,50635,82100
"48181",0.197,0.039,0.254,0.096,0.166,0.179,0.237,0.138,0.067,0.024,0.07,0.098,0.03,0.038,0.017,0.158,62078,169100
"48183",0.256,0.037,0.257,0.136,0.17,0.157,0.257,0.131,0.082,0.027,0.106,0.077,0.03,0.052,0.037,0.135,56566,150900
"48185",0.247,0.056,0.214,0.192,0.182,0.182,0.224,0.144,0.066,0.034,0.015,0.185,0.05,0.032,0.118,0.212,59086,182500
"48187",0.164,0.043,0.2,0.109,0.115,0.142,0.245,0.137,0.059,0.028,0.031,0.142,0.04,0.027,0.011,0.088,80047,220700
"48189",0.321,0.047,0.228,0.252,0.223,0.139,0.27,0.123,0.129,0.064,0.056,0.071,0.039,0.037,0.073,0.207,48649,83200
"48191",0.323,0.075,0.141,0.182,0.212,0.225,0.22,0.177,0.109,0.036,0.008,0.055,0.064,0.033,0.023,0.311,41467,62500
"48193",0.275,0.028,0.225,0.107,0.151,0.258,0.211,0.2,0.054,0.032,0.004,0.07,0.035,0.034,0.033,0.175,44030,122100
"48195",0.213,0.043,0.158,0.278,0.17,0.136,0.288,0.119,0.034,0.082,0.001,0.073,0.028,0.047,0.014,0.151,47500,102900
"48197",0.213,0.025,0.144,0.15,0.149,0.2,0.21,0.214,0.049,0.046,0.005,0.135,0.013,0.041,0.009,0.281,56400,57700
"48199",0.215,0.046,0.187,0.111,0.165,0.172,0.245,0.186,0.073,0.009,0.026,0.239,0.027,0.048,0.009,0.159,65347,143700
